ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,82.92855454,-1,82.21548669,1,82.94158759,1,83.11140889,1,83.17589427
51,-1,33.91071035,-1,33.8612095,1,33.91264472,1,33.99334371,1,34.00880075
52,1,53.36147218,1,54.04031846,-1,53.3932112,1,53.5505595,1,53.65798801
53,1,36.52376109,1,36.61283341,1,36.6423817,1,36.75125141,1,36.81609151
54,-1,24.37225312,-1,24.15328406,1,24.51046455,1,24.56650946,1,24.56876402
55,-1,17.33162357,-1,17.18815346,1,17.35322046,1,17.36162856,-1,17.35121032
56,1,26.3309712,-1,26.06048015,1,26.41690298,1,26.44594539,1,26.45958396
57,1,51.098842,-1,50.65301416,1,51.10598494,1,51.26084301,1,51.31683651
58,-1,47.46347793,-1,46.60976415,1,47.57453056,1,47.72872508,1,47.73519921
59,-1,42.20021991,-1,42.12137512,1,42.32163311,1,42.40541778,-1,42.37131688
6201,1,14.92624982,1,14.99390833,-1,14.84685964,1,14.88724435,1,14.89742349
6203,1,38.7643215,-1,38.4719849,1,38.83103795,1,38.95493519,1,38.99616276
6204,-1,54.88526457,-1,54.71214139,1,55.06453136,1,55.14106538,1,55.18087721
6208,1,48.62209325,-1,48.08728537,1,48.68376368,1,48.73296878,1,48.81936826
690,-1,22.05339408,-1,22.0421846,1,22.07795251,1,22.08811566,-1,22.07356915
692,-1,21.08586429,-1,20.99548602,1,21.0923455,-1,21.07927397,-1,21.04426869
701,1,21.27773312,-1,21.21332929,1,21.32036089,-1,21.29298712,1,21.30108972
713,1,31.35028164,-1,31.33447409,1,31.47693616,-1,31.4633418,1,31.4742484
