ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,83.25651645,-1,82.73457209,1,83.0287207,1,83.18659116,1,83.21244042
51,-1,33.15365605,1,33.19738768,-1,33.11396922,1,33.20498632,1,33.22659738
52,1,54.66651272,1,55.43241727,-1,54.64252722,1,54.80085867,1,54.88473914
53,1,36.43377336,1,36.48141268,-1,36.45970594,1,36.55736703,1,36.59685231
54,-1,24.09601531,-1,23.89862017,1,24.19647486,1,24.26002462,1,24.26138197
55,-1,17.20764186,-1,17.15536388,1,17.16749987,1,17.17612637,-1,17.1672964
56,-1,26.09567332,-1,25.79462107,1,26.14199826,1,26.16705092,1,26.17254149
57,1,51.32008566,-1,50.74344336,1,51.16471883,1,51.29008575,1,51.29611209
58,-1,47.07124392,-1,46.25131798,1,47.04871385,1,47.18755387,-1,47.1670432
59,-1,42.08584119,1,42.20872008,-1,42.08633345,1,42.18133442,-1,42.15844067
6201,1,14.56347906,1,14.64836832,-1,14.51780827,1,14.57572486,1,14.60107901
6203,1,38.79569761,-1,38.53862182,1,38.79564402,1,38.91423924,1,38.93989234
6204,1,54.61961169,-1,54.49377348,1,54.64729697,1,54.72091865,1,54.74456694
6208,1,48.58509275,-1,48.17650789,1,48.54326833,1,48.58696625,1,48.65381187
690,-1,21.92583959,-1,21.80446542,1,21.90124354,1,21.90742323,-1,21.89568092
692,-1,21.01179711,-1,20.90661005,1,20.9840503,-1,20.97377249,-1,20.93749921
701,-1,21.12652752,-1,20.99569054,1,21.09526447,-1,21.0719855,1,21.08012279
713,-1,30.75145866,-1,30.63920572,1,30.79076591,-1,30.77399053,-1,30.75390319
